"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-28","10.07",,," 0927","0.00",,,,,"24","-1",,,"  310","  310",,,,"21.9","27.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-29","2.01",,," 1414","0.00",,,,,"32","-12",,,"  150","  140",,,,"10.1","12.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-30","8.28",,," 2124","0.02",,,,,"32","17",,,"  320","  330",,,,"29.1","36.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-01-31","17.90",,," 0205","0.00",,,,,"20","9",,,"  330","  330",,,,"31.1","42.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-01","7.61",,," 1450","0.00",,,,,"28","-2",,,"  310","  300",,,,"21.0","23.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-02","10.74",,," 1421","0.52",,,,,"16","8",,,"   20","   30",,,,"21.9","29.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-03","7.61",,," 0151","0.00",,,,,"21","-5",,,"  300","  300",,,,"21.0","25.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-04","5.59",,," 1343","0.00",,,,,"37","-5",,,"  200","  210",,,,"16.1","21.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-05","10.96",,," 1603","0.00",,,,,"34","4",,,"  320","  310",,,,"23.9","34.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-06","6.71",,," 1437","0.00",,,,,"19","-11",,,"  250","  260",,,,"16.1","19.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-07","6.93",,," 1212","0.00",,,,,"27","11",,,"  200","  200",,,,"14.1","16.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-08","10.07",,," 1517","0.08",,,,,"26","10",,,"   10","   20",,,,"17.0","23.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-09","12.53",,," 1422","0.00",,,,,"15","11",,,"   10","   20",,,,"18.1","23.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-02-10","8.50",,," 0047","0.00",,,,,"31","13",,,"   10","  360",,,,"15.0","19.0",,,,,,,,,
